,MP_ID,formula,PREC,ALGO,ISPIN,IMIX,NELM,IBRION,EDIFF,NSW,ISIF,ENCUT,MAGMOM,ISMEAR,SIGMA,LDAU,LDAUU,total_E_ref,E_atom,total_E,cell_param,angle,Magm_ref,Mag_O_ref,Magm,Mag_O,tot_mag_ref,tot_mag,DHf_ref,DHf,Err_DHf,Ehull_ref,Eg_ref,Eg,Volume_ref,Volume,Err_V_percent,Theoretical,VBM,E_fermi,CBM,bgtype,bgpath
57,mp-1016853,CaVO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 5, 0.6, 0.6, 0.6]",-5,0.05,True,"[0, 3.25, 0]",-36.3286993,-7.265739859999999,-36.120876,"(3.830406, 3.830406, 3.830406)","(90.0, 90.0, 90.0)","[0.002, 1.084, -0.02, -0.026, -0.098]",FM,"[0.002, 1.094, -0.022, -0.028, -0.103]",FM,0.9941043,1.0001,-2.83837679775,-2.8469601234000006,0.008583325650000528,0.10508193049999726,0.0,NaN,56.19975561423256,56.71039927484806,-0.9086225643411513,True,NaN,NaN,NaN,NaN,NaN
58,mp-1040469,KMoO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 5.0, 0.6, 0.6, 0.6]",-5,0.05,True,"[0, 4.38, 0]",-31.77068311,-6.354136622,-31.940746,"(4.00482, 4.00482, 4.00482)","(90.0, 90.0, 90.0)","[-0.002, 1.182, -0.142, -0.032, -0.026]",FM,"[-0.002, 1.2, -0.142, -0.036, -0.028]",FM,1.0014023,1.0,-2.12173052335,-2.1654437036000003,0.04371318025000015,0.10552783725001369,0.0,NaN,64.23163890078015,63.156119801263955,1.6744382019857451,True,NaN,NaN,NaN,NaN,NaN
59,mp-20029,SrCrO3,Accurate,Normal,2,4,100,2,0.0001,200,3,520,"[0.6, 0.6, 0.6, 5.0, 0.6]",1,0.2,True,"[0.0, 3.7, 0.0]",-34.8049957,-6.96099914,-34.619374,"(3.8932042, 3.8932042, 3.8932042)","(90.0, 90.0, 90.0)",,Unknown,"[0.001, 2.333, -0.216, -0.076, -0.053]",FM,1.9982396,2.0,-2.5476941140833325,-2.5598195610000003,0.012125446916667837,0.1064126840000057,0.031199999999999672,0.0,59.00944767205266,58.69230809649668,0.5374386442633609,False,,4.17360528,,Indirect,
60,mp-979294,SrAgO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.2,,,-24.24325432,-4.848650864,-24.337859,"(4.110248, 4.110248, 4.110248)","(90.0, 90.0, 90.0)","[-0.0, 0.003, 0.01, 0.019, 0.019]",NM,"[0.0, 0.001, -0.002, -0.007, -0.007]",NM,0.0446234,-0.019,-1.3968495207499998,-1.4597107434,0.06286122265000027,0.10851050900000025,0.0,NaN,69.43909948075958,68.70611203336534,1.0555831698211113,True,NaN,NaN,NaN,NaN,NaN
61,mp-1186897,RbRhO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.05,,,-26.67108722,-5.334217444,-26.666976,"(4.042708, 4.042708, 4.042708)","(90.0, 90.0, 90.0)","[0.02, 1.087, 0.105, 0.271, 0.609]",FM,"[0.02, 1.099, 0.123, 0.261, 0.563]",FM,2.3118678,2.2907,-1.1230094362500005,-1.159891703999999,0.036882267749998476,0.11303347499999994,0.0,NaN,66.07194957741817,64.77379729345958,1.964755531297754,True,NaN,NaN,NaN,NaN,NaN
62,mp-1017465,BaVO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 5, 0.6, 0.6, 0.6]",-5,0.05,True,"[0, 3.25, 0]",-36.03812774,-7.207625548,-35.888063,"(3.982485, 3.982485, 3.982485)","(90.0, 90.0, 90.0)","[-0.006, 1.185, -0.051, -0.143, -0.04]",FM,"[-0.006, 1.198, -0.054, -0.148, -0.043]",FM,0.9983727,1.0,-2.7963608667500006,-2.8041755829999997,0.007814716249999076,0.11490964846510998,0.0,NaN,63.16295592953194,63.945731186314134,-1.239294844996649,False,NaN,NaN,NaN,NaN,NaN
63,mp-1099934,CaCoO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 1.0, 0.6, 0.6, 0.6]",-5,0.05,True,"[0, 3.32, 0]",-29.68961833,-5.937923666,-29.609381,"(3.76349, 3.76349, 3.76349)","(90.0, 90.0, 90.0)","[0.008, 2.3, 0.313, 0.079, 0.057]",FM,"[0.009, 2.27, 0.299, 0.078, 0.058]",FM,2.8895888,2.8357,-1.9437682787499995,-1.9712016903999998,0.02743341165000035,0.11775246493750036,0.0,NaN,53.30553410603655,53.07355768809984,0.4351826162650606,True,NaN,NaN,NaN,NaN,NaN
64,mp-1017467,CaMnO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 3.0, 0.6, 0.6, 0.6]",-5,0.05,True,"[0, 3.9, 0]",-34.36930047,-6.873860093999999,-34.09085,"(3.801716, 3.801716, 3.801716)","(90.0, 90.0, 90.0)","[0.008, 3.02, 0.082, 0.001, -0.046]",FM,"[0.011, 3.038, 0.025, -0.06, -0.099]",FM,3.1529442,3.0,-2.430397001873034,-2.4311838570000006,0.0007868551269667456,0.11810790000000182,0.0,NaN,54.946370694131424,54.59912560866635,0.6319709219705818,True,NaN,NaN,NaN,NaN,NaN
65,mp-974842,KPtO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.2,,,-24.73884694,-4.947769387999999,-24.754501,"(4.046411, 4.046411, 4.046411)","(90.0, 90.0, 90.0)","[0.007, 0.687, 0.082, 0.186, 0.556]",FM,"[0.007, 0.649, 0.085, 0.186, 0.545]",FM,1.7118185,1.68,-0.9641087753499995,-0.9867995839999999,0.022690808650000394,0.11938604316666535,0.0,NaN,66.25367573946053,65.24269609888454,1.5259223421076689,True,NaN,NaN,NaN,NaN,NaN
66,mp-1120765,BaNiO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 5.0, 0.6, 0.6, 0.6]",-5,0.05,True,"[0, 6.2, 0]",-26.41954,-5.283908,-25.954877,"(4.030684, 4.030684, 4.030684)","(90.0, 90.0, 90.0)","[0.009, 1.526, -0.561, -0.476, -0.285]",FiM,"[0.007, 1.482, -0.525, -0.465, -0.292]",NM,0.0178095,-0.0,-1.6295501927499998,-1.6078392204,-0.021710972349999746,0.12423250300000088,0.0,NaN,65.48415898349904,65.26865595597641,0.3290918458263056,True,NaN,NaN,NaN,NaN,NaN
67,mp-1016852,BaMnO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 3.0, 0.6, 0.6, 0.6]",-5,0.05,True,"[0, 3.9, 0]",-33.97685242,-6.795370484,-33.726506,"(4.033313, 4.033313, 4.033313)","(90.0, 90.0, 90.0)","[0.011, 3.64, -0.233, -0.235, -0.177]",FiM,"[0.01, 3.551, -0.172, -0.198, -0.199]",FM,3.0065329,3.0,-2.3680057728730346,-2.3620931165999997,-0.005912656273034944,0.12612266499999958,0.0,NaN,65.61237804092859,64.73897665499463,1.3311533768660808,True,NaN,NaN,NaN,NaN,NaN
68,mp-1187226,SrReO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.05,,,-38.92296275,-7.784592550000001,-38.822345,"(3.996911, 3.996911, 3.996911)","(90.0, 90.0, 90.0)","[0.0, 0.005, 0.0, 0.0, 0.001]",NM,"[-0.0, -0.0, -0.0, -0.0, -0.0]",NM,0.0105819,0.0,-2.410391581083334,-2.422482291,0.012090709916666054,0.12614001513333584,0.0,NaN,63.851842473577,63.7559065002297,0.1502477761499242,True,NaN,NaN,NaN,NaN,NaN
69,mp-1183298,BaReO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.05,,,-39.00555694,-7.801111388,-38.928669,"(4.064732, 4.064732, 4.064732)","(90.0, 90.0, 90.0)","[-0.0, 0.01, 0.0, 0.001, 0.001]",NM,"[-0.0, -0.0, 0.0, 0.0, 0.0]",NM,0.0189555,0.0,-2.38101250375,-2.3894777899999995,0.008465286249999426,0.13580388100000462,0.0,NaN,67.15769002397445,67.08691710525484,0.10538319393407841,True,NaN,NaN,NaN,NaN,NaN
70,mp-1016848,SrIrO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.05,,,-32.77419854,-6.554839708,-32.647953,"(3.998048, 3.998048, 3.998048)","(90.0, 90.0, 90.0)","[0.001, 0.115, 0.005, 0.01, 0.033]",NM,"[0.0, 0.001, 0.0, 0.0, 0.0]",NM,0.2003652,0.0013,-1.901858092083333,-1.8955047980000004,-0.006353294083332628,0.14179081199999644,0.0,NaN,63.90634971621028,63.90634971621028,0.0,True,NaN,NaN,NaN,NaN,NaN
71,mp-1099591,NaVO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 5.0, 0.6, 0.6, 0.6]",-5,0.05,True,"[0, 3.25, 0]",-32.67764782,-6.535529563999999,-32.552355,"(3.773809, 3.773809, 3.773809)","(90.0, 90.0, 90.0)","[-0.0, -0.001, 0.0, 0.0, 0.0]",NM,"[0.0, -0.0, -0.0, 0.0, 0.0]",NM,0.0006575,0.0,-2.2456144477499995,-2.257659291599999,0.012044843849999598,0.14191423800000091,0.22519999999999962,0.23439999999999994,53.745207954482915,53.716785097599946,0.05288444861361488,True,2.4042,2.52190207,2.6386,Indirect,R-gamma
72,mp-1186134,NaFeO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 5.0, 0.6, 0.6, 0.6]",-5,0.05,True,"[0, 5.3, 0]",-26.80210613,-5.360421226,-26.622473,"(3.830481, 3.830481, 3.830481)","(90.0, 90.0, 90.0)","[-0.001, 3.765, 0.173, 0.318, 0.372]",FM,"[-0.001, 3.677, 0.144, 0.288, 0.357]",FM,4.8091596,4.6653,-1.403317935749999,-1.422032090599999,0.018714154850000053,0.1425442137500026,0.0,NaN,56.203056881149166,55.07726385249558,2.0030814890269557,True,NaN,NaN,NaN,NaN,NaN
73,mp-5660,BaIrO3,Accurate,Fast,2,4,100,2,0.00025,99,3,520,"[0.6, 0.6, 0.6, 0.6, 0.6]",-5,0.05,,,-32.93945977,-6.587891954,-32.808351,"(4.077295, 4.077295, 4.077295)","(90.0, 90.0, 90.0)","[0.001, 0.066, 0.003, 0.019, 0.007]",NM,"[-0.0, -0.0, -0.0, -0.0, -0.0]",NM,0.1201689,0.0,-1.8890124227499996,-1.8733150970000003,-0.01569732574999927,0.14292753937499825,0.0,NaN,67.78231600459345,67.49331318402852,0.4263690555296849,False,NaN,NaN,NaN,NaN,NaN
